"country","year","gdp","population","continent"
Albania,2020,14370506253.3253,2837743.0,Europe
Albania,2019,14862643983.3091,2854191.0,Europe
Albania,2018,14546448944.4056,2866376.0,Europe
Albania,2017,13977387390.5945,2873457.0,Europe
Albania,2016,13465406059.6498,2876101.0,Europe
Albania,2015,13033375121.5884,2880703.0,Europe
Albania,2014,12750473701.7819,2889104.0,Europe
Albania,2013,12528163103.1195,2895092.0,Europe
Albania,2012,12403877841.0321,2900401.0,Europe
Albania,2011,12230507222.1843,2905195.0,Europe
Albania,2010,11926928505.5231,2913021.0,Europe
Albania,2009,11500613161.6647,2927519.0,Europe
Albania,2008,11127823665.7504,2947314.0,Europe
Albania,2007,10351466806.2388,2970017.0,Europe
Albania,2006,9767379279.88863,2992547.0,Europe
Albania,2005,9223202583.88038,3011487.0,Europe
Albania,2004,8739893896.95844,3026939.0,Europe
Albania,2003,8283474557.11024,3039616.0,Europe
Albania,2002,7849398816.77983,3051010.0,Europe
Albania,2001,7508515182.79876,3060173.0,Europe
Albania,2000,6933706092.26578,3089027.0,Europe
Albania,1999,6483126460.62459,3108778.0,Europe
Albania,1998,5742875711.85154,3128530.0,Europe
Albania,1997,5276919124.81347,3148281.0,Europe
Albania,1996,5923796791.7011,3168033.0,Europe
Albania,1995,5429694612.20147,3187784.0,Europe
Albania,1994,4791372056.26117,3207536.0,Europe
Albania,1993,4424049156.84258,3227287.0,Europe
Albania,1992,4038036612.66906,3247039.0,Europe
Albania,1991,4350728279.80877,3266790.0,Europe
Albania,1990,6042857912.55639,3286542.0,Europe
Albania,1989,6682776548.1368,3227943.0,Europe
Albania,1988,6084292169.38809,3142336.0,Europe
Albania,1987,6171936109.61493,3083605.0,Europe
Albania,1986,6220947386.67305,3022635.0,Europe
Albania,1985,5888971729.57823,2964762.0,Europe
Albania,1984,5785944655.55332,2904429.0,Europe
Albania,1983,5859279197.3914,2843960.0,Europe
Albania,1982,5795245314.54426,2784278.0,Europe
Albania,1981,5629261101.74622,2726056.0,Europe
Albania,1980,5323398063.85534,2671997.0,Europe
Albania,1979,,2617832.0,Europe
Albania,1978,,2566266.0,Europe
Albania,1977,,2513546.0,Europe
Albania,1976,,2458526.0,Europe
Albania,1975,,2404831.0,Europe
Albania,1974,,2350124.0,Europe
Albania,1973,,2296752.0,Europe
Albania,1972,,2243126.0,Europe
Albania,1971,,2187853.0,Europe
Albania,1970,,2135479.0,Europe
Albania,1969,,2081695.0,Europe
Albania,1968,,2022272.0,Europe
Albania,1967,,1965598.0,Europe
Albania,1966,,1914573.0,Europe
Albania,1965,,1864791.0,Europe
Albania,1964,,1814135.0,Europe
Albania,1963,,1762621.0,Europe
Albania,1962,,1711319.0,Europe
Albania,1961,,1659800.0,Europe
Albania,1960,,1608800.0,Europe
Andorra,2020,3121702240.48787,77265.0,Europe
Andorra,2019,3545618454.19594,77146.0,Europe
Andorra,2018,3475566750.62972,77008.0,Europe
Andorra,2017,3421211719.47501,76997.0,Europe
Andorra,2016,3409412700.51704,77295.0,Europe
Andorra,2015,3287458570.8604,77993.0,Europe
Andorra,2014,3240978390.56079,79213.0,Europe
Andorra,2013,3161792390.29564,80770.0,Europe
Andorra,2012,3278085642.31738,82427.0,Europe
Andorra,2011,3449688452.87021,83748.0,Europe
Andorra,2010,3449966856.68832,84454.0,Europe
Andorra,2009,3519475009.94299,84461.0,Europe
Andorra,2008,3716558398.51518,83860.0,Europe
Andorra,2007,3935330770.25056,82682.0,Europe
Andorra,2006,3875142516.24022,80995.0,Europe
Andorra,2005,3697348535.06562,78871.0,Europe
Andorra,2004,3507994166.77714,76250.0,Europe
Andorra,2003,3244067347.20933,73180.0,Europe
Andorra,2002,2984581731.4066,70048.0,Europe
Andorra,2001,2854792522.86889,67344.0,Europe
Andorra,2000,2640408325.59989,65390.0,Europe
Andorra,1999,2550420257.1921,64368.0,Europe
Andorra,1998,2449993106.19117,64140.0,Europe
Andorra,1997,2374144107.11918,64318.0,Europe
Andorra,1996,2176762428.74188,64363.0,Europe
Andorra,1995,2080045737.77012,63860.0,Europe
Andorra,1994,2024227628.26462,62676.0,Europe
Andorra,1993,1977109505.50179,60974.0,Europe
Andorra,1992,1997715630.38579,58882.0,Europe
Andorra,1991,1979323478.72199,56666.0,Europe
Andorra,1990,1930181002.39944,54508.0,Europe
Andorra,1989,1859852760.9129,52452.0,Europe
Andorra,1988,1774210988.9159,50433.0,Europe
Andorra,1987,1688208158.34045,48459.0,Europe
Andorra,1986,1599482888.42279,46520.0,Europe
Andorra,1985,1549086131.92805,44593.0,Europe
Andorra,1984,1513941005.34203,42706.0,Europe
Andorra,1983,1487395653.0415,40854.0,Europe
Andorra,1982,1461524932.50469,39115.0,Europe
Andorra,1981,1443531869.0965,37498.0,Europe
Andorra,1980,1445446717.57423,36063.0,Europe
Andorra,1979,1414210656.38646,34825.0,Europe
Andorra,1978,1413623194.23724,33744.0,Europe
Andorra,1977,1393240089.2387,32769.0,Europe
Andorra,1976,1354783534.84503,31782.0,Europe
Andorra,1975,1311455827.07027,30705.0,Europe
Andorra,1974,1304383386.5365,29515.0,Europe
Andorra,1973,1234991794.42933,28232.0,Europe
Andorra,1972,1145755038.99145,26885.0,Europe
Andorra,1971,1059415401.3062,25571.0,Europe
Andorra,1970,1012346692.50671,24275.0,Europe
Andorra,1969,,23053.0,Europe
Andorra,1968,,21886.0,Europe
Andorra,1967,,20760.0,Europe
Andorra,1966,,19646.0,Europe
Andorra,1965,,18542.0,Europe
Andorra,1964,,17466.0,Europe
Andorra,1963,,16407.0,Europe
Andorra,1962,,15379.0,Europe
Andorra,1961,,14378.0,Europe
Andorra,1960,,13410.0,Europe
Austria,2020,419595298128.512,8917205.0,Europe
Austria,2019,449199380962.245,8879920.0,Europe
Austria,2018,442915585749.024,8840521.0,Europe
Austria,2017,431775262676.529,8797566.0,Europe
Austria,2016,421657228102.472,8736668.0,Europe
Austria,2015,413432253216.039,8642699.0,Europe
Austria,2014,409280100109.633,8546356.0,Europe
Austria,2013,406591421433.927,8479823.0,Europe
Austria,2012,406487747903.707,8429991.0,Europe
Austria,2011,403740513438.199,8391643.0,Europe
Austria,2010,392275107258.667,8363404.0,Europe
Austria,2009,385198647266.611,8343323.0,Europe
Austria,2008,400267011848.042,8321496.0,Europe
Austria,2007,394505559258.526,8295487.0,Europe
Austria,2006,380329113681.259,8268641.0,Europe
Austria,2005,367630985634.815,8227829.0,Europe
Austria,2004,359562175533.158,8171966.0,Europe
Austria,2003,349989540825.713,8121423.0,Europe
Austria,2002,346725223670.04,8081957.0,Europe
Austria,2001,341091906904.391,8042293.0,Europe
Austria,2000,336823783071.547,8011566.0,Europe
Austria,1999,325824841728.611,7992324.0,Europe
Austria,1998,314635365898.188,7976789.0,Europe
Austria,1997,303756550389.004,7968041.0,Europe
Austria,1996,297527516127.689,7959017.0,Europe
Austria,1995,290697480419.209,7948278.0,Europe
Austria,1994,283143264746.921,7936118.0,Europe
Austria,1993,276501372537.873,7905633.0,Europe
Austria,1992,275052371330.69,7840709.0,Europe
Austria,1991,269412161410.13,7754891.0,Europe
Austria,1990,260448493706.736,7677850.0,Europe
Austria,1989,249601698943.64,7619567.0,Europe
Austria,1988,240262515217.942,7585317.0,Europe
Austria,1987,232596416676.241,7574586.0,Europe
Austria,1986,229481960791.385,7569794.0,Europe
Austria,1985,224319487336.687,7564985.0,Europe
Austria,1984,218851101911.711,7561434.0,Europe
Austria,1983,218738944036.64,7561910.0,Europe
Austria,1982,212423409087.48,7574140.0,Europe
Austria,1981,208235267467.768,7568710.0,Europe
Austria,1980,208536174094.898,7549433.0,Europe
Austria,1979,204986856207.007,7549425.0,Europe
Austria,1978,194564613737.032,7562305.0,Europe
Austria,1977,194975336487.999,7568430.0,Europe
Austria,1976,185549459930.764,7565525.0,Europe
Austria,1975,177426102637.058,7578903.0,Europe
Austria,1974,178073820219.971,7599038.0,Europe
Austria,1973,171320143615.151,7586115.0,Europe
Austria,1972,163332474593.262,7544201.0,Europe
Austria,1971,153785673605.059,7500482.0,Europe
Austria,1970,146302354151.12,7467086.0,Europe
Austria,1969,137604196614.988,7441055.0,Europe
Austria,1968,129478309878.161,7415403.0,Europe
Austria,1967,123935525527.964,7376998.0,Europe
Austria,1966,120316352146.871,7322066.0,Europe
Austria,1965,113889713455.281,7270889.0,Europe
Austria,1964,110059452011.494,7223801.0,Europe
Austria,1963,103708006819.617,7175811.0,Europe
Austria,1962,99586837027.4007,7129864.0,Europe
Austria,1961,97017167457.6581,7086299.0,Europe
Austria,1960,91926307558.3378,7047539.0,Europe
Belarus,2020,62765583662.6109,9398861.0,Europe
Belarus,2019,63335604099.6643,9417849.0,Europe
Belarus,2018,62461148027.2823,9483499.0,Europe
Belarus,2017,60554177331.8333,9498264.0,Europe
Belarus,2016,59058702608.9201,9501534.0,Europe
Belarus,2015,60589462935.5585,9489616.0,Europe
Belarus,2014,63002175707.5323,9474511.0,Europe
Belarus,2013,61932974220.8466,9465997.0,Europe
Belarus,2012,61317669289.2363,9464495.0,Europe
Belarus,2011,60300321142.6581,9473172.0,Europe
Belarus,2010,57222490768.7143,9490583.0,Europe
Belarus,2009,53082941363.8271,9506765.0,Europe
Belarus,2008,52976989868.7029,9527985.0,Europe
Belarus,2007,48073493773.2612,9560953.0,Europe
Belarus,2006,44266566187.7427,9604924.0,Europe
Belarus,2005,40242334795.7495,9663915.0,Europe
Belarus,2004,36784583396.0769,9730146.0,Europe
Belarus,2003,33005534486.7779,9796749.0,Europe
Belarus,2002,30833847251.5793,9865548.0,Europe
Belarus,2001,29352914216.1911,9928549.0,Europe
Belarus,2000,28028482645.7397,9979610.0,Europe
Belarus,1999,26491948709.2598,10026738,Europe
Belarus,1998,25620840351.69,10069000,Europe
Belarus,1997,23635463449.7575,10117000,Europe
Belarus,1996,21216752516.0832,10160000,Europe
Belarus,1995,20638863381.5805,10194000,Europe
Belarus,1994,23034445864.7262,10227000,Europe
Belarus,1993,26086576309.6993,10239000,Europe
Belarus,1992,28232226006.2732,10216000,Europe
Belarus,1991,31230338984.7805,10194000,Europe
Belarus,1990,31609653425.5172,10189000,Europe
Belarus,1989,,10170000,Europe
Belarus,1988,,10140000,Europe
Belarus,1987,,10111000,Europe
Belarus,1986,,10043000,Europe
Belarus,1985,,9975000.0,Europe
Belarus,1984,,9910000.0,Europe
Belarus,1983,,9843000.0,Europe
Belarus,1982,,9776000.0,Europe
Belarus,1981,,9710000.0,Europe
Belarus,1980,,9643000.0,Europe
Belarus,1979,,9584000.0,Europe
Belarus,1978,,9525000.0,Europe
Belarus,1977,,9463000.0,Europe
Belarus,1976,,9411000.0,Europe
Belarus,1975,,9367000.0,Europe
Belarus,1974,,9317584.0,Europe
Belarus,1973,,9257272.0,Europe
Belarus,1972,,9188968.0,Europe
Belarus,1971,,9115576.0,Europe
Belarus,1970,,9040000.0,Europe
Belarus,1969,,8960304.0,Europe
Belarus,1968,,8874552.0,Europe
Belarus,1967,,8785648.0,Europe
Belarus,1966,,8696496.0,Europe
Belarus,1965,,8610000.0,Europe
Belarus,1964,,8524224.0,Europe
Belarus,1963,,8437232.0,Europe
Belarus,1962,,8351928.0,Europe
Belarus,1961,,8271216.0,Europe
Belarus,1960,,8198000.0,Europe
Belgium,2020,513138622534.939,11555997,Europe
Belgium,2019,547546031612.432,11488980,Europe
Belgium,2018,537945351170.51,11427054,Europe
Belgium,2017,528496260419.776,11375158,Europe
Belgium,2016,520063190330.958,11331422,Europe
Belgium,2015,513558020680.56,11274196,Europe
Belgium,2014,503283690440.236,11209057,Europe
Belgium,2013,495462648324.133,11159407,Europe
Belgium,2012,493197676499.208,11106932,Europe
Belgium,2011,489578626676.653,11038264,Europe
Belgium,2010,481420882905.001,10895586,Europe
Belgium,2009,468015547701.557,10796493,Europe
Belgium,2008,477667990477.055,10709973,Europe
Belgium,2007,475542653709.135,10625700,Europe
Belgium,2006,458677622724.361,10547958,Europe
Belgium,2005,447261933028.675,10478617,Europe
Belgium,2004,437113311312.751,10421137,Europe
Belgium,2003,422041352211.795,10376133,Europe
Belgium,2002,417705640556.509,10332785,Europe
Belgium,2001,410695541666.438,10286570,Europe
Belgium,2000,406228575522.44,10251250,Europe
Belgium,1999,391671405153.267,10226419,Europe
Belgium,1998,378270260233.97,10203008,Europe
Belgium,1997,370992106402.163,10181245,Europe
Belgium,1996,357432346903.549,10156637,Europe
Belgium,1995,352770655790.382,10136811,Europe
Belgium,1994,344553882007.032,10115603,Europe
Belgium,1993,333782805905.485,10084475,Europe
Belgium,1992,337024555148.856,10045158,Europe
Belgium,1991,331943643360.926,10004486,Europe
Belgium,1990,325968400460.009,9967379.0,Europe
Belgium,1989,316052560120.361,9937697.0,Europe
Belgium,1988,305455788747.387,9901664.0,Europe
Belgium,1987,291679172184.691,9870234.0,Europe
Belgium,1986,285102820698.57,9861823.0,Europe
Belgium,1985,279999103905.39,9858308.0,Europe
Belgium,1984,275449252708.534,9855372.0,Europe
Belgium,1983,268819143574.121,9855520.0,Europe
Belgium,1982,267983456720.204,9856303.0,Europe
Belgium,1981,266398421352.338,9858982.0,Europe
Belgium,1980,267144511304.144,9859242.0,Europe
Belgium,1979,255777616234.91,9848382.0,Europe
Belgium,1978,249926650999.601,9839534.0,Europe
Belgium,1977,243020266571.906,9830358.0,Europe
Belgium,1976,241508052180.326,9818227.0,Europe
Belgium,1975,228586630709.123,9800700.0,Europe
Belgium,1974,233170629024.465,9772419.0,Europe
Belgium,1973,222990535809.726,9741720.0,Europe
Belgium,1972,209613619359.852,9711115.0,Europe
Belgium,1971,199071575562.706,9673162.0,Europe
Belgium,1970,191441065666.753,9655549.0,Europe
Belgium,1969,181318320774.418,9646032.0,Europe
Belgium,1968,170044697751.012,9618756.0,Europe
Belgium,1967,163199883105.792,9580991.0,Europe
Belgium,1966,157122166807.522,9527807.0,Europe
Belgium,1965,152315257247.629,9463667.0,Europe
Belgium,1964,147078299310.916,9378113.0,Europe
Belgium,1963,137512021504.281,9289770.0,Europe
Belgium,1962,131777607834.973,9220578.0,Europe
Belgium,1961,125249594570.624,9183948.0,Europe
Belgium,1960,119309845695.844,9153489.0,Europe
Bosnia and Herzegovina,2020,19937655682.3208,3280815.0,Europe
Bosnia and Herzegovina,2019,20839450781.6725,3300998.0,Europe
Bosnia and Herzegovina,2018,20265727508.4724,3323929.0,Europe
Bosnia and Herzegovina,2017,19535100848.8297,3351534.0,Europe
Bosnia and Herzegovina,2016,18934602269.0509,3386263.0,Europe
Bosnia and Herzegovina,2015,18356410773.0628,3429362.0,Europe
Bosnia and Herzegovina,2014,17806343590.1312,3482106.0,Europe
Bosnia and Herzegovina,2013,17603228545.3329,3542598.0,Europe
Bosnia and Herzegovina,2012,17199074936.9112,3604972.0,Europe
Bosnia and Herzegovina,2011,17341594485.6047,3661173.0,Europe
Bosnia and Herzegovina,2010,17176781336.7644,3705478.0,Europe
Bosnia and Herzegovina,2009,17029363372.8317,3735945.0,Europe
Bosnia and Herzegovina,2008,17556851230.7796,3754261.0,Europe
Bosnia and Herzegovina,2007,16650743291.5849,3762791.0,Europe
Bosnia and Herzegovina,2006,15729153560.7731,3765422.0,Europe
Bosnia and Herzegovina,2005,14921313134.8433,3765332.0,Europe
Bosnia and Herzegovina,2004,13719579896.7392,3764194.0,Europe
Bosnia and Herzegovina,2003,12930805086.5843,3762179.0,Europe
Bosnia and Herzegovina,2002,12433466463.9814,3759389.0,Europe
Bosnia and Herzegovina,2001,11807660368.5842,3755514.0,Europe
Bosnia and Herzegovina,2000,11310019583.9402,3751176.0,Europe
Bosnia and Herzegovina,1999,10720397681.9001,3743353.0,Europe
Bosnia and Herzegovina,1998,9781384771.5674,3734338.0,Europe
Bosnia and Herzegovina,1997,8461405754.34878,3736070.0,Europe
Bosnia and Herzegovina,1996,6296177225.09818,3764419.0,Europe
Bosnia and Herzegovina,1995,3332057043.39681,3829049.0,Europe
Bosnia and Herzegovina,1994,2758325423.17903,3936527.0,Europe
Bosnia and Herzegovina,1993,,4078940.0,Europe
Bosnia and Herzegovina,1992,,4233673.0,Europe
Bosnia and Herzegovina,1991,,4369320.0,Europe
Bosnia and Herzegovina,1990,,4463422.0,Europe
Bosnia and Herzegovina,1989,,4507819.0,Europe
Bosnia and Herzegovina,1988,,4509462.0,Europe
Bosnia and Herzegovina,1987,,4479516.0,Europe
Bosnia and Herzegovina,1986,,4435925.0,Europe
Bosnia and Herzegovina,1985,,4392135.0,Europe
Bosnia and Herzegovina,1984,,4350566.0,Europe
Bosnia and Herzegovina,1983,,4307907.0,Europe
Bosnia and Herzegovina,1982,,4265183.0,Europe
Bosnia and Herzegovina,1981,,4222479.0,Europe
Bosnia and Herzegovina,1980,,4179850.0,Europe
Bosnia and Herzegovina,1979,,4138816.0,Europe
Bosnia and Herzegovina,1978,,4100355.0,Europe
Bosnia and Herzegovina,1977,,4063188.0,Europe
Bosnia and Herzegovina,1976,,4025271.0,Europe
Bosnia and Herzegovina,1975,,3985107.0,Europe
Bosnia and Herzegovina,1974,,3942221.0,Europe
Bosnia and Herzegovina,1973,,3897259.0,Europe
Bosnia and Herzegovina,1972,,3851153.0,Europe
Bosnia and Herzegovina,1971,,3805286.0,Europe
Bosnia and Herzegovina,1970,,3760536.0,Europe
Bosnia and Herzegovina,1969,,3717476.0,Europe
Bosnia and Herzegovina,1968,,3675448.0,Europe
Bosnia and Herzegovina,1967,,3632678.0,Europe
Bosnia and Herzegovina,1966,,3586630.0,Europe
Bosnia and Herzegovina,1965,,3535632.0,Europe
Bosnia and Herzegovina,1964,,3478999.0,Europe
Bosnia and Herzegovina,1963,,3417573.0,Europe
Bosnia and Herzegovina,1962,,3353228.0,Europe
Bosnia and Herzegovina,1961,,3288604.0,Europe
Bosnia and Herzegovina,1960,,3225664.0,Europe
Bulgaria,2020,60566782151.677,6927288.0,Europe
Bulgaria,2019,63191572277.6213,6975761.0,Europe
Bulgaria,2018,60940251461.1954,7025037.0,Europe
Bulgaria,2017,59112236490.8388,7075947.0,Europe
Bulgaria,2016,57111753665.4351,7127822.0,Europe
Bulgaria,2015,55010127749.7693,7177991.0,Europe
Bulgaria,2014,52899515523.1699,7223938.0,Europe
Bulgaria,2013,51920571507.3287,7265115.0,Europe
Bulgaria,2012,51751979375.9177,7305888.0,Europe
Bulgaria,2011,51568094264.4734,7348328.0,Europe
Bulgaria,2010,50381825504.2642,7395599.0,Europe
Bulgaria,2009,50101534229.7147,7444443.0,Europe
Bulgaria,2008,51851436378.6577,7492561.0,Europe
Bulgaria,2007,48876966228.4417,7545338.0,Europe
Bulgaria,2006,45869280338.7161,7601022.0,Europe
Bulgaria,2005,42947892705.1545,7658972.0,Europe
Bulgaria,2004,40080703028.4043,7716860.0,Europe
Bulgaria,2003,37655019586.0687,7775327.0,Europe
Bulgaria,2002,35810138200.2256,7837161.0,Europe
Bulgaria,2001,33798124235.1857,8009142.0,Europe
Bulgaria,2000,32555406323.5435,8170172.0,Europe
Bulgaria,1999,31069642496.7662,8210624.0,Europe
Bulgaria,1998,33874822442.0955,8256786.0,Europe
Bulgaria,1997,32482841154.8313,8312068.0,Europe
Bulgaria,1996,37855619063.4858,8362826.0,Europe
Bulgaria,1995,36005335303.0191,8406067.0,Europe
Bulgaria,1994,35005899014.0377,8443591.0,Europe
Bulgaria,1993,34380851287.7681,8472313.0,Europe
Bulgaria,1992,34897407869.4036,8540164.0,Europe
Bulgaria,1991,37634321769.0717,8632367.0,Europe
Bulgaria,1990,41105857427.2347,8718289.0,Europe
Bulgaria,1989,45229611683.7388,8876972.0,Europe
Bulgaria,1988,46768231340.096,8981446.0,Europe
Bulgaria,1987,42154546080.5394,8971359.0,Europe
Bulgaria,1986,39747998038.6554,8958171.0,Europe
Bulgaria,1985,38143088675.0465,8960547.0,Europe
Bulgaria,1984,37146289995.9078,8960679.0,Europe
Bulgaria,1983,35926080911.8606,8939738.0,Europe
Bulgaria,1982,34734578608.1275,8917457.0,Europe
Bulgaria,1981,33942176240.3789,8891117.0,Europe
Bulgaria,1980,32356648110.5461,8861535.0,Europe
Bulgaria,1979,,8825940.0,Europe
Bulgaria,1978,,8814032.0,Europe
Bulgaria,1977,,8804183.0,Europe
Bulgaria,1976,,8758599.0,Europe
Bulgaria,1975,,8720742.0,Europe
Bulgaria,1974,,8678745.0,Europe
Bulgaria,1973,,8620967.0,Europe
Bulgaria,1972,,8576200.0,Europe
Bulgaria,1971,,8536395.0,Europe
Bulgaria,1970,,8489574.0,Europe
Bulgaria,1969,,8434172.0,Europe
Bulgaria,1968,,8369603.0,Europe
Bulgaria,1967,,8310226.0,Europe
Bulgaria,1966,,8258057.0,Europe
Bulgaria,1965,,8204168.0,Europe
Bulgaria,1964,,8144340.0,Europe
Bulgaria,1963,,8078145.0,Europe
Bulgaria,1962,,8012946.0,Europe
Bulgaria,1961,,7943118.0,Europe
Bulgaria,1960,,7867374.0,Europe
Croatia,2020,61535031999.3384,4047200.0,Europe
Croatia,2019,67154066752.8158,4065253.0,Europe
Croatia,2018,65287544197.8689,4087843.0,Europe
Croatia,2017,63504583355.145,4124531.0,Europe
Croatia,2016,61393139836.7654,4174349.0,Europe
Croatia,2015,59318112197.5722,4203604.0,Europe
Croatia,2014,57909810141.88,4238389.0,Europe
Croatia,2013,58108222128.8461,4255689.0,Europe
Croatia,2012,58369186194.0968,4267558.0,Europe
Croatia,2011,59799454151.6423,4280622.0,Europe
Croatia,2010,59918313669.1671,4295427.0,Europe
Croatia,2009,60717700435.3099,4305181.0,Europe
Croatia,2008,65515772483.174,4309705.0,Europe
Croatia,2007,64298314188.4647,4310217.0,Europe
Croatia,2006,61197075793.9092,4311159.0,Europe
Croatia,2005,58286655436.7013,4310145.0,Europe
Croatia,2004,55879107778.0003,4304600.0,Europe
Croatia,2003,53650170222.5233,4303399.0,Europe
Croatia,2002,50787868293.8868,4302174.0,Europe
Croatia,2001,48059002801.748,4299642.0,Europe
Croatia,2000,46678391315.0396,4468302.0,Europe
Croatia,1999,45379738092.8281,4512597.0,Europe
Croatia,1998,45814080061.6447,4532135.0,Europe
Croatia,1997,44788091136.4548,4534920.0,Europe
Croatia,1996,42172016877.0871,4557097.0,Europe
Croatia,1995,39820482132.8067,4620030.0,Europe
Croatia,1994,,4652024.0,Europe
Croatia,1993,,4600463.0,Europe
Croatia,1992,,4575818.0,Europe
Croatia,1991,,4689022.0,Europe
Croatia,1990,,4777368.0,Europe
Croatia,1989,,4767260.0,Europe
Croatia,1988,,4755207.0,Europe
Croatia,1987,,4739745.0,Europe
Croatia,1986,,4721446.0,Europe
Croatia,1985,,4701417.0,Europe
Croatia,1984,,4680285.0,Europe
Croatia,1983,,4658254.0,Europe
Croatia,1982,,4634234.0,Europe
Croatia,1981,,4611509.0,Europe
Croatia,1980,,4599782.0,Europe
Croatia,1979,,4594778.0,Europe
Croatia,1978,,4581085.0,Europe
Croatia,1977,,4559571.0,Europe
Croatia,1976,,4535934.0,Europe
Croatia,1975,,4512082.0,Europe
Croatia,1974,,4490660.0,Europe
Croatia,1973,,4470161.0,Europe
Croatia,1972,,4450564.0,Europe
Croatia,1971,,4431275.0,Europe
Croatia,1970,,4412252.0,Europe
Croatia,1969,,4391490.0,Europe
Croatia,1968,,4365628.0,Europe
Croatia,1967,,4338683.0,Europe
Croatia,1966,,4310701.0,Europe
Croatia,1965,,4280923.0,Europe
Croatia,1964,,4252876.0,Europe
Croatia,1963,,4225675.0,Europe
Croatia,1962,,4196712.0,Europe
Croatia,1961,,4167292.0,Europe
Croatia,1960,,4140181.0,Europe
Czech Republic,2020,244395294183.036,10698896,Europe
Czech Republic,2019,258899638367.936,10671870,Europe
Czech Republic,2018,253045172103.95,10629928,Europe
Czech Republic,2017,245202003265.939,10594438,Europe
Czech Republic,2016,233151067380.883,10566332,Europe
Czech Republic,2015,227381745549.048,10546059,Europe
Czech Republic,2014,215755991069.112,10525347,Europe
Czech Republic,2013,210983331025.624,10514272,Europe
Czech Republic,2012,211080224602.858,10510785,Europe
Czech Republic,2011,212750323790.759,10496088,Europe
Czech Republic,2010,209069940963.177,10474410,Europe
Czech Republic,2009,204100298391.036,10443936,Europe
Czech Republic,2008,214070259127.502,10384603,Europe
Czech Republic,2007,208469898850.69,10298828,Europe
Czech Republic,2006,197470142753.551,10238905,Europe
Czech Republic,2005,184954402823.471,10211216,Europe
Czech Republic,2004,173500559474.731,10197101,Europe
Czech Republic,2003,165531443734.197,10193998,Europe
Czech Republic,2002,159804546639.628,10196916,Europe
Czech Republic,2001,157334620713.224,10216605,Europe
Czech Republic,2000,152688350008.684,10255063,Europe
Czech Republic,1999,146814269063.158,10283860,Europe
Czech Republic,1998,144809884575.821,10294373,Europe
Czech Republic,1997,145328075949.549,10304131,Europe
Czech Republic,1996,146085281312.374,10315241,Europe
Czech Republic,1995,140109046712.108,10327253,Europe
Czech Republic,1994,131556785407.866,10333587,Europe
Czech Republic,1993,127837594220.042,10329855,Europe
Czech Republic,1992,127758506250.964,10319123,Europe
Czech Republic,1991,128408951999.219,10308578,Europe
Czech Republic,1990,145283552883.794,10333355,Europe
Czech Republic,1989,,10361068,Europe
Czech Republic,1988,,10355276,Europe
Czech Republic,1987,,10347318,Europe
Czech Republic,1986,,10342227,Europe
Czech Republic,1985,,10337118,Europe
Czech Republic,1984,,10330213,Europe
Czech Republic,1983,,10323856,Europe
Czech Republic,1982,,10314826,Europe
Czech Republic,1981,,10300591,Europe
Czech Republic,1980,,10304193,Europe
Czech Republic,1979,,10292341,Europe
Czech Republic,1978,,10242098,Europe
Czech Republic,1977,,10186755,Europe
Czech Republic,1976,,10125939,Europe
Czech Republic,1975,,10058620,Europe
Czech Republic,1974,,9988459.0,Europe
Czech Republic,1973,,9922266.0,Europe
Czech Republic,1972,,9867632.0,Europe
Czech Republic,1971,,9826815.0,Europe
Czech Republic,1970,,9858071.0,Europe
Czech Republic,1969,,9896580.0,Europe
Czech Republic,1968,,9876346.0,Europe
Czech Republic,1967,,9852899.0,Europe
Czech Republic,1966,,9821040.0,Europe
Czech Republic,1965,,9779358.0,Europe
Czech Republic,1964,,9727804.0,Europe
Czech Republic,1963,,9670685.0,Europe
Czech Republic,1962,,9624660.0,Europe
Czech Republic,1961,,9586651.0,Europe
Czech Republic,1960,,9602006.0,Europe
Denmark,2020,372510633673.233,5831404.0,Europe
Denmark,2019,382978543873.05,5814422.0,Europe
Denmark,2018,372367867708.325,5793636.0,Europe
Denmark,2017,364438964537.519,5764980.0,Europe
Denmark,2016,354437668050.905,5728010.0,Europe
Denmark,2015,343294476994.931,5683483.0,Europe
Denmark,2014,335436569740.648,5643475.0,Europe
Denmark,2013,330091094977.815,5614932.0,Europe
Denmark,2012,327038708713.874,5591572.0,Europe
Denmark,2011,326299640707.019,5570572.0,Europe
Denmark,2010,321995279401.502,5547683.0,Europe
Denmark,2009,316081423941.657,5523095.0,Europe
Denmark,2008,332390313313.103,5493621.0,Europe
Denmark,2007,334100966204.774,5461438.0,Europe
Denmark,2006,331090561927.791,5437272.0,Europe
Denmark,2005,318622825351.085,5419432.0,Europe
Denmark,2004,311347745321.688,5404523.0,Europe
Denmark,2003,303256204834.651,5390574.0,Europe
Denmark,2002,302077924044.662,5375931.0,Europe
Denmark,2001,300675736064.966,5358783.0,Europe
Denmark,2000,298220921608.043,5339616.0,Europe
Denmark,1999,287450544669.54,5321799.0,Europe
Denmark,1998,279219103618.14,5304219.0,Europe
Denmark,1997,273159981605.855,5284991.0,Europe
Denmark,1996,264533824169.595,5263074.0,Europe
Denmark,1995,257078297070.764,5233373.0,Europe
Denmark,1994,249523747852.023,5206180.0,Europe
Denmark,1993,236891592039.702,5188628.0,Europe
Denmark,1992,236866276646.501,5171370.0,Europe
Denmark,1991,232319763286.065,5154298.0,Europe
